event_id,round,player,points,tournament_points,opponent
1,2,Tom Kolker,0,3,Matthew Stoebner
1,2,Matthew Stoebner,208,8,Tom Kolker
1,2,Shawn Tweten,191,3,Tim Bailey
1,2,Tim Bailey,400,8,Shawn Tweten
1,2,Derek Cummings,300,8,Greg Goodwin
1,2,Greg Goodwin,103,3,Derek Cummings
1,2,Andrew Koltun,131,4,Devon Balas
1,2,Devon Balas,210,7,Andrew Koltun
1,2,William Schuman,210,8,Steve Smaha
1,2,Steve Smaha,32,3,William Schuman
1,2,Kyle Holt,179,5,Andy Jackson
1,2,Andy Jackson,223,6,Kyle Holt
1,2,Will Ross,400,9,Daniel Hrobar
1,2,Daniel Hrobar,157,2,Will Ross
1,2,Christopher McWilliam,85,4,David Holmes
1,2,David Holmes,208,7,Christopher McWilliam
1,2,Justin Rasmussen,50,3,Joshua Fletcher
1,2,Joshua Fletcher,251,8,Justin Rasmussen
1,2,Evan Rice,180,5,Jacob Thompson
1,2,Jacob Thompson,204,6,Evan Rice
1,2,Ian Halterman,190,5,Joseph Morton
1,2,Joseph Morton,240,6,Ian Halterman
1,2,Aiden Jablonski,181,4,Roy Drum
1,2,Roy Drum,263,7,Aiden Jablonski
1,2,Aaron Klingbeil,170,2,Aron Huckaba
1,2,Aron Huckaba,420,9,Aaron Klingbeil
1,2,Hiroki Ogawa,379,10,Atticus Rampson
1,2,Atticus Rampson,46,1,Hiroki Ogawa
1,2,Jerzy Frączek,287,8,Patrick Logan
1,2,Patrick Logan,117,3,Jerzy Frączek
1,2,Adam Momsen,126,4,Joseph Ziebelman
1,2,Joseph Ziebelman,225,7,Adam Momsen
1,2,Dennis Backofen,400,9,Nicholas Kolker
1,2,Nicholas Kolker,173,2,Dennis Backofen
1,2,Robin Sather,440,10,Matt Somes
1,2,Matt Somes,113,1,Robin Sather
1,2,Josiah Nelson,48,4,William Gutierrez Gonzalez
1,2,William Gutierrez Gonzalez,140,7,Josiah Nelson
1,2,William Welch,505,10,Mitchell Trantham
